"article","experiment","articleID","sampleID","language","language_family","pronoun_type","manipulation","prompt","format","gender","forced","estimate","error","q2.5","q97.5"
"Arnold","Arnold (2001)","1","1","English","Germanic","pronoun/null","TPV","TPV_fullstop","spoken","different","No",0.728938602394342,0.386628750509491,-0.00543907274761097,1.5106855844536
"Contemori and Di Domenico (exp3_italian_null)","Contemori and Di Domenico (2021) Italian","2","2","Italian","Romance","pronoun/null","ICV","ICV_because","written","different","No",1.7537338809438,0.6577729113739,0.490352454962766,3.06123091407731
"Contemori and Di Domenico (exp3_italian_overt)","Contemori and Di Domenico (2021) Italian","2","2","Italian","Romance","overt","ICV","ICV_because","written","different","No",-1.82548019079126,0.656500120654906,-3.16190003463608,-0.567224790378395
"Contemori and Di Domenico (exp3_spanish_null)","Contemori and Di Domenico (2021) Spanish","2","1","Spanish","Romance","pronoun/null","ICV","ICV_because","written","different","No",-0.573426095625825,0.504898000048946,-1.57196756864371,0.384257537404307
"Contemori and Di Domenico (exp3_spanish_overt)","Contemori and Di Domenico (2021) Spanish","2","1","Spanish","Romance","overt","ICV","ICV_because","written","different","No",0.558949163384644,0.483848397876814,-0.368552898575871,1.51758392997562
"Fukumura and van Gompel (exp 1)","Fukumura and van Gompel (2010) Exp1","3","1","English","Germanic","pronoun/null","ICV","ICV_because","written","different","Yes",-0.0520745732970044,0.215186907748286,-0.469969026201827,0.377777601329418
"Fukumura and van Gompel (pre 1)","Fukumura and van Gompel (2010) Pre1","3","2","English","Germanic","pronoun/null","ICV","ICV_because","written","different","No",0.95986324349321,0.284402535421537,0.42303566926258,1.5344778362027
"Holler and Suckow (icv2_becauseSince_butAlthough)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","relation","ICV2_becauseSince_butAlthough","written","same","Yes",0.11319572654983,0.185236706977478,-0.261290774562088,0.467066280331842
"Holler and Suckow (icv_becauseSince)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","ICV","ICV_because_since","written","same","Yes",0.270087663280452,0.206645153959047,-0.122957097646519,0.678005615396758
"Holler and Suckow (icv1_becauseSince_butAlthough)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","relation","ICV1_becauseSince_butAlthough","written","same","Yes",0.121169872370063,0.210467041078742,-0.296112228882434,0.542253587988255
"hwang et al (icv_because_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","ICV","ICV_ThisIsBecause","written","same","No",0.33369562520172,1.20023212816284,-1.87671717882753,2.74282557226057
"hwang et al (icv_because_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","ICV","ICV_ThisIsBecause","written","same","No",-0.0985951533732805,0.956041058655745,-1.96207213933602,1.82755465643002
"hwang et al (icv1_because_so_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","relation","ICV1_ThisIsBecause_So","written","same","No",0.162166791274301,1.26566533604019,-2.15852706995055,2.77996120150431
