"article","experiment","articleID","sampleID","language","language_family","pronoun_type","manipulation","prompt","format","gender","forced","estimate","error","q2.5","q97.5"
"Arnold","Arnold (2001)","1","1","English","Germanic","pronoun/null","TPV","TPV_fullstop","spoken","different","No",0.196579783521663,0.562359536850634,-0.930942757520473,1.26511507979692
"Contemori and Di Domenico (exp3_italian_null)","Contemori and Di Domenico (2021) Italian","2","2","Italian","Romance","pronoun/null","ICV","ICV_because","written","different","No",-0.0532607188087029,0.904377176444172,-1.88168473536966,1.68315387570704
"Contemori and Di Domenico (exp3_italian_overt)","Contemori and Di Domenico (2021) Italian","2","2","Italian","Romance","overt","ICV","ICV_because","written","different","No",-0.371164868123099,0.949413012783072,-2.17671255055491,1.53074345657687
"Contemori and Di Domenico (exp3_spanish_null)","Contemori and Di Domenico (2021) Spanish","2","1","Spanish","Romance","pronoun/null","ICV","ICV_because","written","different","No",-0.300561381803781,0.671660696797393,-1.66570167609001,1.00384259181192
"Contemori and Di Domenico (exp3_spanish_overt)","Contemori and Di Domenico (2021) Spanish","2","1","Spanish","Romance","overt","ICV","ICV_because","written","different","No",0.284996780757139,0.662527079944057,-0.979836174989287,1.66575245836563
"Fukumura and van Gompel (exp 1)","Fukumura and van Gompel (2010) Exp1","3","1","English","Germanic","pronoun/null","ICV","ICV_because","written","different","Yes",0.0459139073548563,0.24052090782721,-0.425822334422239,0.515572008278157
"Fukumura and van Gompel (pre 1)","Fukumura and van Gompel (2010) Pre1","3","2","English","Germanic","pronoun/null","ICV","ICV_because","written","different","No",-0.433377176369654,0.531863153573272,-1.52419133494679,0.545360079066051
"Holler and Suckow (icv2_becauseSince_butAlthough)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","relation","ICV2_becauseSince_butAlthough","written","same","Yes",0.354284259920468,0.226664192769081,-0.0846962069454553,0.788225942879658
"Holler and Suckow (icv_becauseSince)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","ICV","ICV_because_since","written","same","Yes",0.412626455227703,0.236600685582097,-0.059146737921508,0.879767835103757
"Holler and Suckow (icv1_becauseSince_butAlthough)","Holler and Suckow (2016)","4","1","German","Germanic","pronoun/null","relation","ICV1_becauseSince_butAlthough","written","same","Yes",0.0830389415022381,0.265743046501678,-0.449417399204641,0.611392360154426
"hwang et al (icv_because_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","ICV","ICV_ThisIsBecause","written","same","No",-0.474247329688706,1.03167955441502,-2.39506780651849,1.61479948033816
"hwang et al (icv_because_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","ICV","ICV_ThisIsBecause","written","same","No",-0.282695557247228,0.63433428070676,-1.5027738833926,0.969623974416191
"hwang et al (icv1_because_so_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","relation","ICV1_ThisIsBecause_So","written","same","No",-1.13092838569865,0.805272246613855,-2.68026907323434,0.499569153444688
"hwang et al (icv1_because_so_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","relation","ICV1_ThisIsBecause_So","written","same","No",-0.170240137935774,0.533721927920896,-1.19344324684059,0.901014214978149
"hwang et al (icv2_because_so_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","relation","ICV2_ThisIsBecause_So","written","same","No",-0.00298452885596104,1.02004478596286,-1.92615233297777,2.07718677026876
"hwang et al (icv2_because_so_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","relation","ICV2_ThisIsBecause_So","written","same","No",0.309515260400387,0.641332028542798,-0.92776216131609,1.58101051907439
"hwang et al (tpv_so_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","TPV","TPV_so","written","same","No",0.304975806599074,0.936641199173438,-1.4669268286883,2.2318237481894
"hwang et al (tpv_so_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","TPV","TPV_so","written","same","No",0.650660525418562,0.532582369619766,-0.372852883765272,1.67978850252755
"hwang et al (tpv1_because_so_null)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","pronoun/null","relation","TPV1_ThisIsBecause_So","written","same","No",0.339464243569577,0.696925153957753,-1.07184852554037,1.67590470430275
"hwang et al (tpv1_because_so_overt)","Hwang et al. (2022)","5","1","Mandarin","Mandarin","overt","relation","TPV1_ThisIsBecause_So","written","same","No",0.395119967312617,0.343536416623888,-0.305185209741362,1.07457278982721
